Frame,Sub Frame,RF,BF,MG,LG,AT
42,1,0.00244141,0.0143814,0.0383759,0.0466156,0.0519562
42,2,0.00282288,0.010643,0.0391006,0.0474548,0.035553
42,3,-0.00209808,0.0352859,0.033493,0.0478363,0.0244141
42,4,-0.000572205,0.0330353,0.0343704,0.0456238,0.016861
43,0,0.000762939,-0.00965118,0.0356293,0.0408936,0.0251007
43,1,0.000305176,-0.0232697,0.0356293,0.0429535,0.0471115
43,2,0.00358582,-0.0234604,0.0357056,0.0465393,0.0728226
43,3,0.000190735,0.00385284,0.0331116,0.043602,0.0858307
43,4,0.00293732,0.0349808,0.0281525,0.0390244,0.0645065
44,0,0.00293732,-0.0363159,0.0244904,0.0339508,0.0566101
44,1,0.00461578,-0.0774384,0.0238037,0.036087,0.0608444
44,2,0.00297546,-0.042305,0.0328064,0.0409698,0.0345612
44,3,0.000152588,-0.0363541,0.0417709,0.0456238,0.00404358
44,4,0.00289917,-0.0255585,0.0537109,0.0572968,0.00297546
45,0,-0.00038147,-0.0198746,0.0582504,0.0602341,0.0129318
45,1,-0.00263214,-0.0152588,0.054512,0.0572205,-0.0359344
45,2,-0.00144958,-0.0131607,0.0512314,0.0536346,0.0294113
45,3,-0.00377655,-0.0115204,0.0455856,0.0478745,0.0367355
45,4,-0.00389099,-0.00591278,0.0453568,0.0448608,0.0123978
46,0,-0.0012207,-0.00240326,0.0462723,0.0456619,0.0355911
46,1,-0.00106812,0.0012207,0.0444412,0.0437546,0.0102234
46,2,-0.000343323,0.0345993,0.03582,0.0399399,0.0209808
46,3,3.81E-05,0.0435257,0.0324631,0.0357437,0.018158
46,4,-0.00141144,0.0104523,0.0313187,0.0342178,0.0433731
47,0,-0.00225067,0.00656128,0.0300598,0.0392151,0.0607681
47,1,-0.000190735,0.00354767,0.0279617,0.0382614,0.059967
47,2,-0.00675201,0.00190735,0.023613,0.0296783,0.0664139
47,3,-0.00659943,0.00141144,0.0214386,0.0309753,0.064621
47,4,0.000457764,0.00511169,0.024147,0.0383759,0.0284576
48,0,0.00160217,0.0075531,0.0333023,0.0455475,-0.00720978
48,1,0.00160217,0.0143814,0.0375366,0.0429916,0.103111
48,2,0.00213623,0.0307083,0.0378799,0.0398636,0.25528
48,3,0.00411987,0.0144577,0.0393295,0.0386047,0.293236
48,4,0.00267029,0.00324249,0.0452423,0.0434875,0.173225
49,0,0.00282288,-0.0069046,0.0505829,0.0559235,-0.0166702
49,1,0.00240326,-0.0145721,0.0527954,0.0606537,-0.173759
49,2,0.00144958,-0.0348282,0.0466919,0.0534058,-0.18322
49,3,-0.00160217,-0.00305176,0.0368118,0.0447845,-0.00152588
49,4,-0.000762939,0.00404358,0.0287247,0.0414658,0.111008
50,0,0.00396729,0.0019455,0.0283051,0.0442886,0.156441
50,1,0.00232697,0.00473022,0.0278473,0.0473785,0.179863
50,2,-0.000267029,0.00659943,0.0307465,0.0455856,0.09758
50,3,0.000572205,0.0082016,0.0339508,0.044632,-0.142441
50,4,0.000190735,0.00591278,0.0419617,0.044899,-0.341034
51,0,0.000801086,0.0063324,0.0494766,0.0508499,-0.219498
51,1,-3.81E-05,0.00709534,0.0531387,0.0498962,-0.0217438
51,2,-0.00358582,0.00087738,0.0500488,0.0447845,0.143242
51,3,-0.0043869,-0.00240326,0.043869,0.0411606,0.141068
51,4,-0.00347137,-0.00267029,0.0376511,0.0390244,0.152893
52,0,-0.000495911,-0.00362396,0.0309753,0.0324249,0.155754
52,1,0.000724792,-0.00740051,0.0257492,0.0361252,0.151978
52,2,0.00247955,-0.00579834,0.0286484,0.0386429,0.148544
52,3,0.00160217,-0.00396729,0.0265503,0.0376892,0.130272
52,4,0.00213623,-0.00110626,0.0289536,0.044136,0.110855
53,0,-0.00038147,-0.000190735,0.0296021,0.0458145,0.0904083
53,1,0.00125885,-0.00110626,0.0310516,0.0437927,0.075264
53,2,0.0018692,-0.000839233,0.0310135,0.0427246,0.0591278
53,3,0.00343323,-0.00202179,0.033493,0.0476456,0.0460052
53,4,0.00221252,-0.00278473,0.0373077,0.0502396,0.0334549
54,0,0.0019455,0.000686646,0.0363922,0.0473022,0.0281525
54,1,0.00141144,0.00255585,0.0330353,0.0439072,0.0228882
54,2,0.0019455,0.00289917,0.0350189,0.0440979,0.0282669
54,3,0.00160217,0.00164032,0.0408936,0.0465393,0.0274658
54,4,-0.000686646,-0.00164032,0.0419617,0.0485611,0.0510025
55,0,0.00038147,-0.00457764,0.0427246,0.0458527,0.0801468
55,1,0.00164032,-0.00499725,0.0424576,0.0431824,0.0960159
55,2,-0.000991821,-0.00865936,0.0416946,0.041008,0.0619507
55,3,-0.00228882,-0.00518799,0.042038,0.0398254,-0.0183487
55,4,-0.00141144,-0.0018692,0.0387955,0.0422668,-0.115433
56,0,-0.00152588,0.00541687,0.0389862,0.0396729,-0.0988007
56,1,-0.00263214,0.0243378,0.0392532,0.0417328,0.0296021
